yt_id,start_seconds,end_seconds,tags_modified
--eWXk8if7g,10,20,m06_y0by m09x0r tdd00129
-18vlJfmPO0,80,90,m06_y0by m09x0r tdd00129
-1Mg0-UNZYg,0,10,m020bb7 m06_y0by m07y_7
-917IKJtnME,60,70,m06_y0by m09x0r
-9VPvTfV1_4,50,60,m015p6 m068hy m06_y0by tdd00129
-B_oIQmZgoI,0,10,m015p6 m020bb7 m06_y0by m09x0r tdd00129
-MZA4kcuaQg,10,20,m06_y0by
-PCefl-9QrI,210,220,m06_y0by
-RtBvHvCDBA,150,160,m020bb7 m06_y0by
-dA_Nb-lGbw,150,160,m06_y0by tdd00129
-dYrGHuMiJE,90,100,m03vt0 m06_y0by
-emPr7HpwVk,40,50,m06_y0by
-tyPvIHx9FU,470,480,m020bb7 m04rlf m06_y0by m07pggtn
-u2xHIAv99A,230,240,m06_y0by
-u59WqAjEbs,190,200,m06_y0by m09x0r
02Tq-8slsSs,50,60,m06_y0by m09t49 m0jbk
09TNWo_t4mA,430,440,m06_y0by m0jbk
09sX0mDrZYI,20,30,m06_y0by m09x0r m0jbk
0H8ahMvFHjs,170,180,m020bb7 m06_y0by m0jbk
0a8tSapa55g,30,40,m06_y0by m09x0r
0aPXqvZke7w,0,10,m020bb7 m06_y0by
0bsklcZwEns,290,300,m019jd m056ks2 m06_y0by m07yv9
0xNNoqqgpWo,50,60,m015p6 m020bb7 m06_y0by
0zmCSMD2ABw,590,600,m0199g m06_y0by
16No0c0lfhs,60,70,m06_y0by m0jbk
1BQ8qH4D4ig,10,20,m06_y0by tdd00129
1L9R2ONTh4Y,0,10,m06_y0by
1MiMeAYPp-0,130,140,m015p6 m020bb7 m0342h m04rlf m04szw m06_y0by m0fx80y
1TlnCC_0avI,180,190,m06_y0by m09x0r
1aeiXjVOgEM,40,50,m015p6 m06_y0by m09x0r
1i4-DaNHqp8,480,490,m06_y0by m09x0r tdd00129
1jtKCWIeGsA,110,120,m015p6 m020bb7 m06_y0by
1kHG61fY8sU,330,340,m06_y0by m09x0r m0jbk
1lxc_dUMYOo,50,60,m06_y0by m09x0r tdd00128
1peio9geeqw,30,40,m06_y0by m09x0r m0jbk
1pk6N1-zAPk,150,160,m020bb7 m06_y0by m07pggtn tdd00129
1qlK8X9wVjY,110,120,m06_y0by m07pggtn
1wRFObGWCPI,30,40,m03vt0 m06_y0by tdd00129
1ymDHlWBXok,50,60,m06_y0by
22odW2B7WSw,30,40,m06_y0by m09x0r
23W3mvqD8OU,50,60,m015p6 m06_y0by
25LuA2ofct0,70,80,m06_y0by
27Zmvn8NZZ8,590,600,m06_y0by m09x0r
2AdsMNf1NyQ,100,110,m06_y0by m0jbk
2CREyMPgsmY,30,40,m06_y0by m09x0r
2D5dmr7zcpA,120,130,m06_y0by m09x0r
2Fc6xi0BR1w,40,50,m015p6 m06_y0by
2KnRuylOQ8w,160,170,m06_y0by
2QDAm3siyWw,310,320,m06_y0by
2Y-zau31s3g,130,140,m06_y0by
2Zgfoj-X5qI,390,400,m06_y0by
2kbR8t02syw,10,20,m06_y0by m0dv5r
2mFPntQR77o,360,370,m04rlf m06_y0by tdd00129
2pbHyg41kM0,40,50,m015p6 m06_y0by m09x0r
2tYp9L64Uis,40,50,m06_y0by
3-6Ki7w7k2c,160,170,m06_y0by
30MHkxHeoAg,140,150,m015p6 m020bb7 m06_y0by
3BkNIsZO19w,20,30,m015p6 m06_y0by
3D_MvqKuF0U,10,20,m06_y0by
3E8I9PsSN9M,390,400,m015p6 m06_y0by
3HWWeqzlxeM,40,50,m03vt0 m06_y0by
3L_d1RG5F8Q,520,530,m06_y0by
3NqN_yNrR8Y,50,60,m019jd m06_y0by m07yv9
3WZ_zRsxV34,340,350,m04rlf m06_y0by
3aosPce4PqA,570,580,m020bb7 m06_y0by m09x0r
3bitTETbEmE,290,300,m06_y0by
3e2aM7F7iZE,30,40,m01g50p m06_y0by m06d_3 m07jdr m07yv9
3jghR1pJCy0,370,380,m06_y0by m09x0r tdd00129
3ocI3ISgmWk,260,270,m06_y0by tdd00129
3u2tqJbjXe8,180,190,m04rlf m06_y0by m09x0r
3uwYpI2usCc,360,370,m04rlf m06_y0by m09x0r
3vk9QLbHYsE,40,50,m06_y0by m0jbk
3xkufHIv_nU,570,580,m06_y0by
3yPv38reXCQ,20,30,m06_y0by m09x0r tdd00129
3zJ1oAezz0M,0,10,m06_y0by
41XFqnizfpc,60,70,m06_y0by m0jbk
4D-wLazIG6o,250,260,m015p6 m06_y0by
4DI8WgUxWfg,280,290,m02_41 m06_y0by
4GPVTJ95ZBs,30,40,m06_y0by
4P8bkHaJie8,470,480,m06_y0by m09x0r
4Vc6U6kUSfk,0,10,m020bb7 m06_y0by m07pggtn m07yv9 tdd00129
4ZraMXVdvc0,280,290,m020bb7 m06_y0by m07pggtn tdd00129
4_u7bY79q5c,170,180,m03fwl m06_y0by m09x0r m0jbk
4j_J1qmYzlY,30,40,m03fwl m06_y0by
4kQrhgNGRfA,90,100,m015p6 m020bb7 m06_y0by m09x0r
4loZ1tbph1o,270,280,m06_y0by m09x0r
4nTIcIgcOZQ,230,240,m06_y0by
4ofTKK81N_0,70,80,m015p6 m06_y0by tdd00129
4r1SD1ynVy8,240,250,m06_y0by m07pggtn m09x0r
4r4kJRwvTnk,210,220,m06_y0by tdd00129
4tw1s2wYVvc,10,20,m06_y0by
5-zEZ_aUnUA,190,200,m06_y0by m09x0r
53pk4vg4308,430,440,m06_y0by
54cWGaM6Irc,60,70,m06_y0by
55HDNxf3lEY,90,100,m020bb7 m06_y0by m07pggtn m09x0r tdd00128
56nrSTO-kPs,40,50,m06_y0by
58f5CkF2cP8,190,200,m06_y0by
58xja1crwBs,470,480,m06_y0by m09x0r
59juRG1griU,580,590,m06_y0by
5H0M3jFV1ms,480,490,m06_y0by
5HyjsIT-dms,230,240,m015p6 m06_y0by
5J2FuSbgOkw,560,570,m06_y0by m09x0r
5KtJ823nqkE,20,30,m06_y0by
5O-g0rxCi4I,80,90,m01rd7k m06_y0by
5UCcsNtERLM,270,280,m03vt0 m06_y0by m09x0r
5VKiYqFMr2Y,0,10,m015p6 m020bb7 m04rlf m06_y0by m07pggtn
5YYSwO6o8dk,250,260,m06_y0by
5hj9vpX5-o0,320,330,m06_y0by m09x0r
5iDx1K2VRkY,90,100,m06_y0by
